DateTime,AddedIPs,RemovedIPs
1613010781,18,21
1613014381,22,18
1613017981,19,20
1613021581,9,12
1613025181,22,23
1613028781,22,19
1613032381,20,21
1613035981,23,22
1613039582,18,19
1613043182,14,15
1613046782,23,25
1613050381,11,10
1613053981,23,21
1613057581,9,14
1613061181,16,20
1613064781,21,17
1613068381,21,20
1613071981,18,16
1613075581,14,14
1613079181,17,17
1613082782,20,20
1613086381,22,20
1613089981,15,14
1613093581,19,22
1613097181,22,22
1613100781,18,20
1613104381,19,18
1613107981,19,18
1613111581,22,20
1613115181,21,20
1613118782,18,17
1613122382,12,12
1613125981,23,23
1613129581,20,23
1613133181,17,19
1613136781,15,13
1613140381,21,22
1613143981,18,18
1613147581,18,16
1613151181,14,18
1613154781,21,17
1613158381,17,20
1613161981,21,20
1613165581,17,20
1613169181,20,22
1613172781,19,15
1613176381,16,16
1613179981,23,24
1613183582,17,19
1613187181,26,19
1613190781,12,13
1613194381,19,19
1613197981,21,21
1613201581,26,22
1613205181,19,24
1613208782,22,21
1613212381,19,22
1613215982,19,18
1613219581,19,17
1613223181,20,21
1613226781,20,20
1613230382,24,24
1613233981,19,19
1613237581,17,16
1613241181,17,17
1613244781,27,28
1613248381,18,17
1613251981,20,21
1613255582,21,23
1613259181,21,20
1613262782,22,22
1613266381,15,12
1613269981,11,16
1613273582,16,12
1613277181,18,19
1613280781,25,21
1613284381,22,24
1613287981,18,17
1613291581,18,21
1613295181,18,15
1613298782,21,22
1613302381,25,27
1613305981,23,24
1613309581,17,18
1613313181,16,14
1613316782,22,25
1613320382,11,13
1613323982,23,20
1613327581,21,22
1613331181,11,12
1613334781,14,10
1613338382,20,17
1613341981,20,18
1613345581,22,22
1613349182,16,17
1613352781,14,16
1613356381,25,24
1613359982,16,15
1613363582,10,12
1613367182,16,18
1613370782,17,17
1613374381,18,16
1613377981,17,15
1613381582,22,27
1613385182,17,17
1613388782,11,10
1613392382,18,17
1613395982,24,23
1613399581,16,19
1613403181,16,14
1613406782,13,11
1613410381,16,16
1613413982,19,19
1613417581,19,22
1613421182,15,15
1613424781,18,17
1613428382,15,16
1613431982,8,7
1613435581,23,20
1613439182,8,9
1613442782,18,17
1613446381,17,18
1613449981,20,21
1613453581,18,20
1613457181,17,14
1613460782,16,16
1613464381,20,19
1613467982,21,25
1613471582,22,21
1613475181,20,17
1613478782,10,13
1613482381,15,15
1613485981,17,17
1613489581,18,24
1613493181,28,23
1613496781,5,5
1613500382,17,19
1613503981,18,17
1613507582,24,23
1613511181,24,21
1613514781,17,20
1613518381,19,14
1613521981,14,13
1613525581,14,13
1613529181,25,24
1613532781,17,18
1613536381,15,19
1613539982,19,21
1613543581,18,14
1613547181,12,13
1613550781,28,31
1613554382,16,16
1613557981,17,19
1613561582,14,12
1613565181,18,16
1613568782,17,21
1613572382,19,17
1613575981,14,19
1613579581,13,12
1613583181,14,12
1613586781,19,16
1613590381,14,14
1613593981,20,20
1613597581,22,20
1613601181,24,21
1613604781,23,26
1613608381,20,20
1613611981,20,20
1613615581,19,20
1613619182,14,17
1613622781,15,15
1613626381,21,15
1613629981,12,15
1613633582,15,16
1613637182,18,19
1613640781,21,20
1613644382,21,19
1613647981,14,18
1613651582,15,14
1613655182,18,20
1613658781,20,17
1613662381,17,16
1613665982,17,16
1613669582,16,20
1613673181,22,18
1613676781,21,22
1613680382,20,21
1613683981,13,11
1613687581,14,15
1613691181,14,14
1613694781,6,8
1613698381,20,21
1613701981,19,17
1613705581,18,20
1613709182,21,21
1613712782,17,16
1613716381,20,21
1613719981,25,23
1613723582,20,21
1613727181,25,24
1613730781,16,16
1613734382,18,17
1613737981,25,28
1613741581,19,18
1613745182,18,18
1613748782,15,16
1613752381,16,16
1613755981,23,20
1613759581,19,22
1613763181,16,15
1613766781,16,19
1613770382,18,17
1613773981,31,26
1613777581,17,23
1613781181,15,12
1613784782,18,17
1613788381,17,18
1613791981,22,22
1613795581,17,17
1613799182,19,20
1613802781,19,20
1613806381,27,23
1613809981,17,23
1613813582,24,21
1613817181,12,17
1613820781,16,12
1613824381,22,22
1613827981,24,23
1613831582,26,23
1613835181,14,16
1613838781,20,20
1613842381,12,14
1613845981,22,19
1613849581,18,19
1613853181,16,18
1613856781,16,16
1613860381,16,15
1613863982,18,19
1613867581,15,13
1613871181,21,22
1613874782,16,15
1613878381,11,8
1613881981,17,19
1613885581,15,15
1613889182,13,14
1613892782,14,17
1613896381,2,2
1613899981,16,15
1613903581,24,23
1613907181,13,14
1613910781,18,18
1613914381,13,13
1613917981,20,19
1613921581,22,21
1613925181,23,26
1613928782,16,16
1613932381,20,18
1613935981,15,16
1613939581,23,20
1613943181,16,14
1613946781,9,12
1613950381,13,15
1613953981,20,18
1613957581,19,23
1613961181,16,15
1613964781,22,18
1613968381,22,23
1613971981,16,16
1613975581,10,15
1613979181,25,21
1613982781,19,19
1613986382,16,16
1613989981,17,18
