DateTime,AddedIPs,RemovedIPs
1613552366,21,14
1613553944,10,3
1613554485,3,8
1613555703,8,3
1613557257,8,11
1613558081,6,9
1613560922,17,10
1613561686,4,16
1613563383,19,11
1613565281,22,15
1613567177,12,14
1613568329,9,0
1613569849,9,10
1613570982,2,7
1613572485,9,3
1613576082,16,20
1613579110,25,23
1613580462,9,22
1613583288,18,19
1613584677,7,5
1613586095,13,9
1613586880,6,7
1613589944,61,8
1613591445,48,8
1613592929,18,8
1613594079,5,1
1613595279,4,6
1613596428,5,15
1613597713,53,12
1613598977,53,5
1613600083,25,0
1613601368,24,8
1613602792,7,7
1613604187,6,0
1613604888,2,7
1613606988,9,11
1613608486,6,15
1613611551,21,15
1613612087,1,7
1613615147,8,27
1613615679,1,12
1613617854,17,15
1613619296,11,9
1613621835,9,15
1613622892,8,8
1613625944,21,6
1613627445,7,18
1613629548,3,17
1613630083,3,9
1613631804,7,16
1613633684,17,29
1613635823,27,17
1613637284,15,16
1613639483,23,21
1613640836,9,16
1613643642,15,33
1613645446,12,18
1613646926,13,13
1613648086,12,15
1613650356,15,19
1613651688,8,15
1613655285,16,19
1613658885,33,26
1613660256,9,4
1613661446,9,7
1613662487,11,14
1613664284,12,23
1613666086,11,20
1613667290,3,9
1613668989,15,7
1613670326,7,20
1613673282,27,28
1613675497,22,9
1613676883,14,6
1613678027,4,5
1613679685,7,9
1613680484,10,7
1613682522,8,14
1613684088,11,8
1613687154,56,23
1613688578,33,17
1613690715,12,11
1613691288,2,9
1613692776,10,5
1613694348,8,1
1613694886,5,9
1613697949,13,17
1613698491,1,11
1613699876,4,5
1613702086,8,27
1613703307,4,4
1613705156,6,13
1613706335,5,29
1613708750,8,29
1613710253,7,27
1613711669,5,20
1613712871,14,24
1613714399,19,24
1613715522,9,2
1613716485,6,14
1613717785,5,5
1613719542,14,19
1613721139,7,20
1613723683,15,35
1613726003,14,29
1613727284,7,9
1613730345,20,24
1613731551,10,12
1613732920,8,10
1613734489,9,16
1613736280,3,16
1613738072,27,8
1613740084,25,4
1613742295,11,17
1613744062,8,6
1613745283,9,13
1613746651,7,6
1613748344,7,14
1613748884,0,12
1613751604,14,13
1613752486,6,9
1613754205,11,13
1613756086,46,13
1613757815,35,27
1613759684,15,37
1613760985,6,32
1613762744,12,26
1613763282,4,11
1613764573,7,4
1613766882,22,37
1613768727,7,48
1613770493,5,29
1613771607,8,13
1613774082,22,21
1613775466,14,9
1613777689,71,11
1613780746,28,10
1613782248,15,14
1613784345,6,4
1613786631,12,19
1613788486,9,16
1613789605,5,6
1613791546,11,3
1613792082,2,10
1613794193,12,15
1613795690,10,20
1613797639,32,6
1613798749,13,2
1613802344,39,14
1613802885,5,7
1613804077,10,8
1613805517,6,21
1613806483,8,19
1613808408,10,33
1613809544,10,0
1613811044,26,11
1613813142,24,14
1613814641,14,13
1613817279,24,26
1613818430,14,6
1613820197,20,5
1613820883,1,10
1613822626,9,10
1613824481,12,11
1613826572,17,23
1613828034,10,11
1613829423,15,7
1613831148,6,10
1613832649,9,18
1613833899,8,14
1613836757,15,20
1613838097,11,0
1613838887,7,14
1613840213,8,9
1613841944,11,18
1613843448,7,17
1613845016,11,21
1613846083,1,12
1613848380,14,11
1613849682,9,18
1613853283,15,29
1613855639,22,16
1613856886,3,52
1613858778,14,33
1613860477,17,13
1613862889,41,13
1613864090,27,9
1613865209,18,3
1613867148,24,6
1613867687,2,7
1613870133,10,16
1613871280,7,4
1613874348,15,12
1613875664,2,3
1613877178,5,14
1613878487,13,7
1613881549,94,6
1613883050,8,17
1613884709,7,9
1613885685,5,12
1613886888,5,3
1613888249,26,2
1613889284,25,6
1613892078,31,7
1613892884,9,15
1613894988,8,17
1613896484,10,18
1613898702,17,11
1613900105,6,6
1613902952,19,17
1613904071,10,12
1613906539,14,5
1613907284,7,17
1613912211,44,36
1613913782,40,6
1613914486,6,10
1613917544,13,11
1613918984,19,12
1613920673,16,7
1613921678,12,7
1613923057,20,3
1613924740,14,12
1613925284,4,22
1613927052,14,29
1613928881,23,15
1613930589,9,11
1613932481,14,17
1613935559,19,8
1613937045,13,33
1613939182,8,13
1613940825,12,9
1613942753,5,8
1613943287,0,11
1613944578,4,7
1613946345,14,14
1613946879,1,58
1613948390,3,22
1613950484,10,16
1613953546,22,16
1613954084,2,2
1613957686,11,17
1613960400,8,14
1613962000,9,13
1613964049,11,9
1613964885,5,11
1613969449,31,36
1613970658,8,12
1613972085,8,19
1613973233,5,3
1613974445,7,5
1613975698,8,6
1613978352,15,15
1613979280,6,13
1613980450,5,1
1613982917,10,43
1613984139,17,0
1613985500,7,16
1613986484,10,12
1613987717,13,11
1613990854,18,21
1613992651,8,9
