DateTime,AddedIPs,RemovedIPs
1613563359,19,12
1613565267,24,16
1613567155,12,15
1613568313,0,1909
1613569830,1916,0
1613570953,3,9
1613572469,9,4
1613574455,8,14
1613576067,8,10
1613579088,26,23
1613580410,10,23
1613583271,18,20
1613584660,7,5
1613586075,13,10
1613586865,6,8
1613589929,62,7
1613591431,45,9
1613592901,20,8
1613594063,6,2
1613595255,5,5
1613596410,4,15
1613597669,54,15
1613598955,52,5
1613600068,25,0
1613601295,25,10
1613602763,8,8
1613604170,6,0
1613604873,2,8
1613606973,10,13
1613608470,6,16
1613611530,20,15
1613612071,2,11
1613615131,10,27
1613615670,0,2086
1613617838,2077,0
1613619275,12,9
1613621808,13,16
1613622874,8,8
1613625928,18,9
1613627429,6,19
1613629534,5,16
1613630068,3,9
1613631762,8,16
1613633668,20,29
1613635796,26,17
1613637268,15,17
1613639452,23,21
1613640818,8,16
1613643624,17,32
1613645430,12,17
1613646895,15,16
1613648070,13,15
1613650329,18,21
1613651672,8,14
1613655269,17,21
1613658869,36,29
1613660238,9,3
1613661423,8,9
1613662470,12,15
1613664257,0,2013
1613666071,1992,0
1613667275,4,9
1613668963,16,9
1613670296,8,20
1613672730,21,9
1613673268,7,21
1613675481,24,10
1613676866,15,7
1613678011,4,5
1613679664,7,9
1613680469,11,9
1613682496,8,14
1613684071,12,9
1613685757,10,22
1613687139,45,2
1613688549,33,18
1613690703,0,2044
1613691270,2039,0
1613692736,11,5
1613694331,7,1
1613694871,5,21
1613697932,12,17
1613698472,1,12
1613699861,4,6
1613702069,8,27
1613703278,5,4
1613705137,8,13
1613706306,4,30
1613708734,10,29
1613710235,7,28
1613711645,5,20
1613712854,15,24
1613714364,23,25
1613715508,9,2
1613716470,6,15
1613717764,0,1900
1613719527,1888,0
1613721114,9,23
1613723668,15,37
1613725982,14,29
1613727268,8,11
1613730330,23,26
1613731525,11,13
1613732904,8,10
1613734472,9,17
1613736259,3,17
1613738060,0,1805
1613740065,1845,0
1613742279,13,18
1613744046,9,6
1613745266,9,14
1613746632,7,6
1613748329,8,13
1613748869,0,13
1613751590,17,12
1613752470,6,9
1613754163,11,13
1613756071,49,15
1613757801,34,28
1613759668,16,37
1613760964,5,31
1613762730,14,26
1613763270,4,14
1613764557,8,3
1613766338,16,7
1613766865,4,29
1613768690,7,49
1613770473,5,29
1613771584,9,13
1613774066,22,21
1613775450,15,10
1613777672,72,11
1613780731,29,8
1613782231,17,15
1613784330,6,5
1613786378,13,18
1613788469,9,17
1613789585,5,5
1613791528,13,2
1613792066,2,14
1613794176,13,15
1613795672,10,19
1613797616,32,6
1613798732,14,2
1613802330,41,16
1613802870,5,9
1613804062,13,9
1613805496,8,21
1613806467,8,19
1613808393,12,33
1613809529,11,1
1613811028,26,11
1613813127,24,13
1613814626,14,14
1613817264,23,26
1613818415,15,7
1613820171,19,6
1613820868,1,11
1613822603,10,11
1613824466,13,12
1613826556,18,24
1613828002,10,12
1613829397,15,7
1613831133,6,9
1613832633,11,18
1613833872,8,14
1613836683,16,12
1613838077,12,8
1613838869,6,16
1613840198,8,9
1613841930,12,19
1613843432,7,19
1613844988,11,21
1613846068,2,14
1613848366,13,11
1613849667,10,19
1613852735,12,16
1613853267,4,14
1613855618,23,17
1613856871,3,52
1613858750,14,33
1613860462,16,15
1613862871,41,14
1613864074,27,9
1613865187,19,3
1613867133,24,6
1613867671,3,7
1613869489,9,6
1613871264,7,12
1613874331,18,14
1613876458,7,15
1613877934,7,4
1613878469,5,6
1613881531,89,7
1613883033,9,17
1613884675,7,10
1613885666,0,1839
1613886873,1834,0
1613888230,27,2
1613889268,25,6
1613892057,31,6
1613892868,9,17
1613894967,7,17
1613896468,13,18
1613898687,18,13
1613900088,5,7
1613902929,19,17
1613904051,10,12
1613906516,15,5
1613907268,7,18
1613910870,30,31
1613912192,16,5
1613913768,41,9
1613914471,6,10
1613917530,14,10
1613918969,20,13
1613920652,17,9
1613921663,11,7
1613923042,22,3
1613924725,16,11
1613925269,4,22
1613927034,16,29
1613928867,23,15
1613930550,9,10
1613932466,15,18
1613935533,19,11
1613937030,12,33
1613939165,8,13
1613940811,13,10
1613942735,6,10
1613943269,2,12
1613944562,4,7
1613946330,15,13
1613946864,2,59
1613948350,3,22
1613950468,11,17
1613953530,26,19
1613954067,4,2
1613957668,14,18
1613960385,8,15
1613961982,9,14
1613964033,13,10
1613964868,6,12
1613969433,33,35
1613970591,8,13
1613972068,8,20
1613973218,5,3
1613974431,8,7
1613975636,7,7
1613978326,17,16
1613979266,5,14
1613980425,4,1
1613982896,12,44
1613984122,19,0
1613985477,8,16
1613986469,10,12
1613987692,13,10
1613990836,0,1777
1613992633,1772,0
